"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Skagit","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","171","0.5931","United States"
"Skagit","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","10","0.0347","United States"
"Skagit","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","7","0.0243","United States"
"Skagit","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","44","0.1526","United States"
"Skagit","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","16117","56.2018","United States"
"Skagit","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","12560","43.7982","United States"
"Skagit","Congressional District 1 U.S. Representative","John Koster","(Prefers Republican Party)","4853","45.6323","Congressional District 1"
"Skagit","Congressional District 1 U.S. Representative","Suzan DelBene","(Prefers Democratic Party)","5782","54.3677","Congressional District 1"
"Skagit","Congressional District 2 U.S. Representative","Rick Larsen","(Prefers Democratic Party)","9876","55.2875","Congressional District 2"
"Skagit","Congressional District 2 U.S. Representative","Dan Matthews","(Prefers Republican Party)","7987","44.7125","Congressional District 2"
"Skagit","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","13852","48.2228","Washington State"
"Skagit","Washington State Governor","Rob McKenna","(Prefers Republican Party)","14873","51.7772","Washington State"
"Skagit","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","14440","51.7841","Washington State"
"Skagit","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","13445","48.2159","Washington State"
"Skagit","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","14467","52.2256","Washington State"
"Skagit","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","13234","47.7744","Washington State"
"Skagit","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","15073","54.7253","Washington State"
"Skagit","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","12470","45.2747","Washington State"
"Skagit","Washington State State Auditor","James Watkins","(Prefers Republican Party)","13740","50.2377","Washington State"
"Skagit","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","13610","49.7623","Washington State"
"Skagit","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","14333","51.526","Washington State"
"Skagit","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","13484","48.474","Washington State"
"Skagit","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","14892","54.3801","Washington State"
"Skagit","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","12493","45.6199","Washington State"
"Skagit","Washington State Superintendent of Public Instruction","Randy I. Dorn","","20389","100","Washington State"
"Skagit","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","15023","55.1444","Washington State"
"Skagit","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","12220","44.8556","Washington State"
"Skagit","Legislative District 10 State Senator","Barbara Bailey","(Prefers Republican Party)","4643","51.8192","Legislative District 10"
"Skagit","Legislative District 10 State Senator","Mary Margaret Haugen","(Prefers Democratic Party)","4317","48.1808","Legislative District 10"
"Skagit","Legislative District 10 State Representative Pos. 1","Norma Smith","(Prefers Republican Party)","5255","60.0023","Legislative District 10"
"Skagit","Legislative District 10 State Representative Pos. 1","Aaron Simpson","(Prefers Democratic Party)","3503","39.9977","Legislative District 10"
"Skagit","Legislative District 10 State Representative Pos. 2","Dave Hayes","(Prefers Republican Party)","4565","52.6285","Legislative District 10"
"Skagit","Legislative District 10 State Representative Pos. 2","Tom Riggs","(Prefers Democratic Party)","4109","47.3715","Legislative District 10"
"Skagit","Legislative District 39 State Senator","Kirk Pearson","(Prefers Republican Party)","3430","55.6186","Legislative District 39"
"Skagit","Legislative District 39 State Senator","Scott Olson","(Prefers Democratic Party)","2737","44.3814","Legislative District 39"
"Skagit","Legislative District 39 State Representative Pos. 1","Dan Kristiansen","(Prefers Republican Party)","3286","53.3182","Legislative District 39"
"Skagit","Legislative District 39 State Representative Pos. 1","Linda Wright","(Prefers Democrat Party)","2877","46.6818","Legislative District 39"
"Skagit","Legislative District 39 State Representative Pos. 2","Eleanor Walters","(Prefers Democratic Party)","3016","49.3052","Legislative District 39"
"Skagit","Legislative District 39 State Representative Pos. 2","Elizabeth Scott","(Prefers Republican Party)","3101","50.6948","Legislative District 39"
"Skagit","Legislative District 40 State Senator","Kevin Ranker","(Prefers Democratic Party)","6824","54.1158","Legislative District 40"
"Skagit","Legislative District 40 State Senator","John Swapp","(Prefers Independent-Gop Party)","5786","45.8842","Legislative District 40"
"Skagit","Legislative District 40 State Representative Pos. 1","Kristine Lytton","(Prefers Democratic Party)","8033","68.6464","Legislative District 40"
"Skagit","Legislative District 40 State Representative Pos. 1","Brandon Robinson","(States No Party Preference)","3669","31.3536","Legislative District 40"
"Skagit","Legislative District 40 State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)","8516","75.9408","Legislative District 40"
"Skagit","Legislative District 40 State Representative Pos. 2","Howard A. Pellett","(Prefers Green Party)","2698","24.0592","Legislative District 40"
"Skagit","SKAGIT COUNTY Commissioner #1","Ron Wesen","(Prefers G.O.P. Party)","16009","58.0752","SKAGIT COUNTY"
"Skagit","SKAGIT COUNTY Commissioner #1","Nick Petrish","(Prefers Democratic Party)","11557","41.9248","SKAGIT COUNTY"
"Skagit","SKAGIT COUNTY Commissioner #2","Kenneth A. Dahlstedt","(Prefers Democrat Party)","14466","51.9668","SKAGIT COUNTY"
"Skagit","SKAGIT COUNTY Commissioner #2","April Axthelm","(Prefers Republican Party)","13371","48.0332","SKAGIT COUNTY"
"Skagit","Supreme Court Justice Position 2","Susan Owens","","19842","100","Supreme Court"
"Skagit","Supreme Court Justice Position 8","Steve Gonzalez","","19604","100","Supreme Court"
"Skagit","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","12770","54.2228","Supreme Court"
"Skagit","Supreme Court Justice Position 9","Richard B. Sanders","","10781","45.7772","Supreme Court"
"Skagit","Court of Appeals, Division 1, District 3 Judge Position 1","Mary Kay Becker","","19488","100","Court of Appeals, Division 1, District 3"
"Skagit","TOWN OF LA CONNER Town of La Conner - Proposition No. 478 Sales and Use Tax for Fire Protection Services & Equipment","Approved","","255","82.5243","TOWN OF LA CONNER"
"Skagit","TOWN OF LA CONNER Town of La Conner - Proposition No. 478 Sales and Use Tax for Fire Protection Services & Equipment","Rejected","","54","17.4757","TOWN OF LA CONNER"
"Skagit","CITY OF SEDRO-WOOLLEY City of Sedro-Woolley - Proposition No. 1 Sales and Use Tax","Approved","","1154","59.8858","CITY OF SEDRO-WOOLLEY"
"Skagit","CITY OF SEDRO-WOOLLEY City of Sedro-Woolley - Proposition No. 1 Sales and Use Tax","Rejected","","773","40.1142","CITY OF SEDRO-WOOLLEY"
"Skagit","SEDRO-WOOLLEY RURAL PARTIAL-COUNTY LIB Proposed Rural Partial-County Library District - Proposition No. 1 ","Yes","","2190","58.7762","SEDRO-WOOLLEY RURAL PARTIAL-COUNTY LIB"
"Skagit","SEDRO-WOOLLEY RURAL PARTIAL-COUNTY LIB Proposed Rural Partial-County Library District - Proposition No. 1 ","No","","1536","41.2238","SEDRO-WOOLLEY RURAL PARTIAL-COUNTY LIB"
"Skagit","PRECINCT 110 - BIG LAKE Skagit PTBA - Proposition No. 1 - Precinct 110 annexation","Yes","","245","56.8445","PRECINCT 110 - BIG LAKE"
"Skagit","PRECINCT 110 - BIG LAKE Skagit PTBA - Proposition No. 1 - Precinct 110 annexation","No","","186","43.1555","PRECINCT 110 - BIG LAKE"
"Skagit","PRECINCT 140 - MONTBORNE Skagit PTBA - Proposition No. 1 - Precinct 140 annexation","Yes","","195","55.2408","PRECINCT 140 - MONTBORNE"
"Skagit","PRECINCT 140 - MONTBORNE Skagit PTBA - Proposition No. 1 - Precinct 140 annexation","No","","158","44.7592","PRECINCT 140 - MONTBORNE"
"Skagit","SKAGIT PUD DISTRICT COUNTYWIDE Commissioner 2","Mike Newman","","10290","44.2962","SKAGIT PUD DISTRICT COUNTYWIDE"
"Skagit","SKAGIT PUD DISTRICT COUNTYWIDE Commissioner 2","Robbie Robertson","","12940","55.7038","SKAGIT PUD DISTRICT COUNTYWIDE"
"Skagit","FIDALGO POOL AND FITNESS CENTER DISTRICT Fidalgo Pool & Fitness Center District - Proposition No. 1 Maintenance and Operation Levy","Yes","","4833","78.9319","FIDALGO POOL AND FITNESS CENTER DISTRICT"
"Skagit","FIDALGO POOL AND FITNESS CENTER DISTRICT Fidalgo Pool & Fitness Center District - Proposition No. 1 Maintenance and Operation Levy","No","","1290","21.0681","FIDALGO POOL AND FITNESS CENTER DISTRICT"
"Skamania","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","2984","69.9977","Statewide"
"Skamania","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","1279","30.0023","Statewide"
"Skamania","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","2229","51.8613","Statewide"
"Skamania","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","2069","48.1387","Statewide"
"Skamania","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","1952","44.1729","Statewide"
"Skamania","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","2467","55.8271","Statewide"
"Skamania","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","2309","52.2753","Statewide"
"Skamania","Statewide Initiative Measure No. 502 Concerns marijuana","No","","2108","47.7247","Statewide"
"Skamania","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","2423","60.1838","Statewide"
"Skamania","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","1603","39.8162","Statewide"
"Skamania","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","1458","35.26","Statewide"
"Skamania","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","2677","64.74","Statewide"
"Skamania","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","2637","66.4232","Washington State"
"Skamania","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","1333","33.5768","Washington State"
"Skamania","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","2494","64.1626","Washington State"
"Skamania","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","1393","35.8374","Washington State"
"Skamania","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","2129","47.5648","United States"
"Skamania","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","2233","49.8883","United States"
"Skamania","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","60","1.3405","United States"
"Skamania","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","9","0.2011","United States"
"Skamania","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","33","0.7373","United States"
"Skamania","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","2","0.0447","United States"
"Skamania","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","1","0.0223","United States"
"Skamania","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","9","0.2011","United States"
"Skamania","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","2330","53.2693","United States"
"Skamania","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","2044","46.7307","United States"
"Skamania","Congressional District 3 U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)","2549","58.7869","Congressional District 3"
"Skamania","Congressional District 3 U.S. Representative","Jon T. Haugen","(Prefers Democratic Party)","1787","41.2131","Congressional District 3"
"Skamania","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","1997","45.7608","Washington State"
"Skamania","Washington State Governor","Rob McKenna","(Prefers Republican Party)","2367","54.2392","Washington State"
"Skamania","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","2060","48.8731","Washington State"
"Skamania","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","2155","51.1269","Washington State"
"Skamania","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","2266","53.9267","Washington State"
"Skamania","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","1936","46.0733","Washington State"
"Skamania","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","2162","51.4028","Washington State"
"Skamania","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","2044","48.5972","Washington State"
"Skamania","Washington State State Auditor","James Watkins","(Prefers Republican Party)","2207","53.1295","Washington State"
"Skamania","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","1947","46.8705","Washington State"
"Skamania","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","1974","47.5319","Washington State"
"Skamania","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","2179","52.4681","Washington State"
"Skamania","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","2106","50.5036","Washington State"
"Skamania","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","2064","49.4964","Washington State"
"Skamania","Washington State Superintendent of Public Instruction","Randy I. Dorn","","2942","100","Washington State"
"Skamania","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2004","48.9258","Washington State"
"Skamania","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","2092","51.0742","Washington State"
"Skamania","Legislative District 14 State Senator","Curtis King","(Prefers Republican Party)","2973","100","Legislative District 14"
"Skamania","Legislative District 14 State Representative Pos. 1","Norm Johnson","(Prefers Republican Party)","2181","51.6457","Legislative District 14"
"Skamania","Legislative District 14 State Representative Pos. 1","Paul Spencer","(Prefers Democratic Party)","2042","48.3543","Legislative District 14"
"Skamania","Legislative District 14 State Representative Pos. 2","Charles Ross","(Prefers Republican Party)","2358","57.0116","Legislative District 14"
"Skamania","Legislative District 14 State Representative Pos. 2","Mathew K.M. Tomaskin","(Prefers Democratic Party)","1778","42.9884","Legislative District 14"
"Skamania","COUNTYWIDE DISTRICT Commissioner #1","Chris Brong","(Prefers Republican Party)","2223","52.0609","COUNTYWIDE DISTRICT"
"Skamania","COUNTYWIDE DISTRICT Commissioner #1","Honna Sheffield","(Prefers Democratic Party)","2047","47.9391","COUNTYWIDE DISTRICT"
"Skamania","COUNTYWIDE DISTRICT Commissioner #2","Jim Waters","(Prefers GOP Republican Party)","1856","49.4011","COUNTYWIDE DISTRICT"
"Skamania","COUNTYWIDE DISTRICT Commissioner #2","Doug McKenzie","(Prefers Republican Party)","1901","50.5989","COUNTYWIDE DISTRICT"
"Skamania","Supreme Court Justice Position 2","Susan Owens","","2860","100","Supreme Court"
"Skamania","Supreme Court Justice Position 8","Steve Gonzalez","","2796","100","Supreme Court"
"Skamania","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","1727","50.3059","Supreme Court"
"Skamania","Supreme Court Justice Position 9","Richard B. Sanders","","1706","49.6941","Supreme Court"
"Skamania","Court of Appeals, Division 2, District 3 Judge Position 1","Joel Penoyar","","2769","100","Court of Appeals, Division 2, District 3"
"Skamania","Klickitat, Skamania Superior Court Judge Position 1","Brian Altman","","2775","100","Klickitat, Skamania Superior Court"
"Skamania","PUBLIC UTILITY DISTRICT Commissioner #1","Dennis L. Gale","","2900","100","PUBLIC UTILITY DISTRICT"
"Snohomish","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","125219","66.898","Statewide"
"Snohomish","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","61960","33.102","Statewide"
"Snohomish","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","101690","53.619","Statewide"
"Snohomish","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","87963","46.381","Statewide"
"Snohomish","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","99526","51.8659","Statewide"
"Snohomish","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","92365","48.1341","Statewide"
"Snohomish","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","106003","55.0499","Statewide"
"Snohomish","Statewide Initiative Measure No. 502 Concerns marijuana","No","","86555","44.9501","Statewide"
"Snohomish","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","116050","65.8376","Statewide"
"Snohomish","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","60217","34.1624","Statewide"
"Snohomish","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","76363","42.3012","Statewide"
"Snohomish","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","104159","57.6988","Statewide"
"Snohomish","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","103712","60.0168","Washington State"
"Snohomish","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","69093","39.9832","Washington State"
"Snohomish","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","99127","58.4627","Washington State"
"Snohomish","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","70429","41.5373","Washington State"
"Snohomish","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","111015","57.1376","United States"
"Snohomish","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","79477","40.9055","United States"
"Snohomish","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","2151","1.1071","United States"
"Snohomish","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","470","0.2419","United States"
"Snohomish","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","845","0.4349","United States"
"Snohomish","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","57","0.0293","United States"
"Snohomish","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","61","0.0314","United States"
"Snohomish","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","218","0.1122","United States"
"Snohomish","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","115930","60.2891","United States"
"Snohomish","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","76360","39.7109","United States"
"Snohomish","Congressional District 1 U.S. Representative","John Koster","(Prefers Republican Party)","35797","48.1252","Congressional District 1"
"Snohomish","Congressional District 1 U.S. Representative","Suzan DelBene","(Prefers Democratic Party)","38586","51.8748","Congressional District 1"
"Snohomish","Congressional District 1 One Month Short Term U.S. Representative","John Koster","(Prefers Republican Party)","41848","41.4636","Congressional District 1 One Month Short Term"
"Snohomish","Congressional District 1 One Month Short Term U.S. Representative","Suzan DelBene","(Prefers Democratic Party)","59079","58.5364","Congressional District 1 One Month Short Term"
"Snohomish","Congressional District 2 U.S. Representative","Rick Larsen","(Prefers Democratic Party)","59957","60.619","Congressional District 2"
"Snohomish","Congressional District 2 U.S. Representative","Dan Matthews","(Prefers Republican Party)","38951","39.381","Congressional District 2"
"Snohomish","Congressional District 7 U.S. Representative","Jim McDermott","(Prefers Democratic Party)","10053","62.6667","Congressional District 7"
"Snohomish","Congressional District 7 U.S. Representative","Ron Bemis","(Prefers Republican Party)","5989","37.3333","Congressional District 7"
"Snohomish","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","99684","51.8777","Washington State"
"Snohomish","Washington State Governor","Rob McKenna","(Prefers Republican Party)","92468","48.1223","Washington State"
"Snohomish","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","104177","56.0031","Washington State"
"Snohomish","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","81843","43.9969","Washington State"
"Snohomish","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","90032","48.749","Washington State"
"Snohomish","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","94653","51.251","Washington State"
"Snohomish","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","107158","58.27","Washington State"
"Snohomish","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","76741","41.73","Washington State"
"Snohomish","Washington State State Auditor","James Watkins","(Prefers Republican Party)","85299","46.754","Washington State"
"Snohomish","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","97143","53.246","Washington State"
"Snohomish","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","101643","54.6465","Washington State"
"Snohomish","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","84358","45.3535","Washington State"
"Snohomish","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","106363","57.937","Washington State"
"Snohomish","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","77221","42.063","Washington State"
"Snohomish","Washington State Superintendent of Public Instruction","Randy I. Dorn","","146809","100","Washington State"
"Snohomish","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","107498","58.789","Washington State"
"Snohomish","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","75356","41.211","Washington State"
"Snohomish","Legislative District 1 State Senator","Rosemary McAuliffe","(Prefers Democratic Party)","16179","54.4527","Legislative District 1"
"Snohomish","Legislative District 1 State Senator","Dawn McCravey","(Prefers Republican Party)","13533","45.5473","Legislative District 1"
"Snohomish","Legislative District 1 State Representative Pos. 1","Derek Stanford","(Prefers Democratic Party)","16459","56.6399","Legislative District 1"
"Snohomish","Legislative District 1 State Representative Pos. 1","Sandy Guinn","(Prefers Republican Party)","12600","43.3601","Legislative District 1"
"Snohomish","Legislative District 1 State Representative Pos. 2","Luis Moscoso","(Prefers Democratic Party)","16670","59.6124","Legislative District 1"
"Snohomish","Legislative District 1 State Representative Pos. 2","Mark T. Davies","(States No Party Preference)","11294","40.3876","Legislative District 1"
"Snohomish","Legislative District 10 State Senator","Barbara Bailey","(Prefers Republican Party)","4966","57.2846","Legislative District 10"
"Snohomish","Legislative District 10 State Senator","Mary Margaret Haugen","(Prefers Democratic Party)","3703","42.7154","Legislative District 10"
"Snohomish","Legislative District 10 State Representative Pos. 1","Norma Smith","(Prefers Republican Party)","5197","61.503","Legislative District 10"
"Snohomish","Legislative District 10 State Representative Pos. 1","Aaron Simpson","(Prefers Democratic Party)","3253","38.497","Legislative District 10"
"Snohomish","Legislative District 10 State Representative Pos. 2","Dave Hayes","(Prefers Republican Party)","4768","56.6271","Legislative District 10"
"Snohomish","Legislative District 10 State Representative Pos. 2","Tom Riggs","(Prefers Democratic Party)","3652","43.3729","Legislative District 10"
"Snohomish","Legislative District 21 State Representative Pos. 1","Mary Helen Roberts","(Prefers Democratic Party)","26497","100","Legislative District 21"
"Snohomish","Legislative District 21 State Representative Pos. 2","Marko Liias","(Prefers Democratic Party)","20316","60.1368","Legislative District 21"
"Snohomish","Legislative District 21 State Representative Pos. 2","Kevin Morrison","(Prefers Republican Party)","13467","39.8632","Legislative District 21"
"Snohomish","Legislative District 32 State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)","11076","67.0582","Legislative District 32"
"Snohomish","Legislative District 32 State Representative Pos. 1","Randy J. Hayden","(Prefers Republican Party)","5441","32.9418","Legislative District 32"
"Snohomish","Legislative District 32 State Representative Pos. 2","Ruth Kagi","(Prefers Democratic Party)","10982","66.7883","Legislative District 32"
"Snohomish","Legislative District 32 State Representative Pos. 2","Robert Reedy","(Prefers Republican Party)","5461","33.2117","Legislative District 32"
"Snohomish","Legislative District 38 State Representative Pos. 1","John McCoy","(Prefers Democratic Party)","18485","60.9342","Legislative District 38"
"Snohomish","Legislative District 38 State Representative Pos. 1","Sam Wilson","(Prefers Republican Party)","11851","39.0658","Legislative District 38"
"Snohomish","Legislative District 38 State Representative Pos. 2","Mike Sells","(Prefers Democratic Party)","18641","62.5747","Legislative District 38"
"Snohomish","Legislative District 38 State Representative Pos. 2","Michael Casey","(Prefers Gop Party)","11149","37.4253","Legislative District 38"
"Snohomish","Legislative District 39 State Senator","Kirk Pearson","(Prefers Republican Party)","15537","56.7645","Legislative District 39"
"Snohomish","Legislative District 39 State Senator","Scott Olson","(Prefers Democratic Party)","11834","43.2355","Legislative District 39"
"Snohomish","Legislative District 39 State Representative Pos. 1","Dan Kristiansen","(Prefers Republican Party)","14810","54.3726","Legislative District 39"
"Snohomish","Legislative District 39 State Representative Pos. 1","Linda Wright","(Prefers Democrat Party)","12428","45.6274","Legislative District 39"
"Snohomish","Legislative District 39 State Representative Pos. 2","Eleanor Walters","(Prefers Democratic Party)","12766","47.1941","Legislative District 39"
"Snohomish","Legislative District 39 State Representative Pos. 2","Elizabeth Scott","(Prefers Republican Party)","14284","52.8059","Legislative District 39"
"Snohomish","Legislative District 44 State Representative Pos. 1","Hans Dunshee","(Prefers Democratic Party)","20557","53.9016","Legislative District 44"
"Snohomish","Legislative District 44 State Representative Pos. 1","Mark Harmsworth","(Prefers Republican Party)","17581","46.0984","Legislative District 44"
"Snohomish","Legislative District 44 State Representative Pos. 2","Mike Hope","(Prefers Republican Party)","20851","55.1366","Legislative District 44"
"Snohomish","Legislative District 44 State Representative Pos. 2","Mary McNaughton","(Prefers Democratic Party)","16966","44.8634","Legislative District 44"
"Snohomish","Supreme Court Justice Position 2","Susan Owens","","144185","100","Supreme Court"
"Snohomish","Supreme Court Justice Position 8","Steve Gonzalez","","142025","100","Supreme Court"
"Snohomish","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","86458","53.2954","Supreme Court"
"Snohomish","Supreme Court Justice Position 9","Richard B. Sanders","","75766","46.7046","Supreme Court"
"Snohomish","CITY OF EVERETT COUNCIL POSITION #5","Scott Bader","","10065","52.3919","CITY OF EVERETT"
"Snohomish","CITY OF EVERETT COUNCIL POSITION #5","June Robinson","","9146","47.6081","CITY OF EVERETT"
"Snohomish","CITY OF GOLD BAR City of Gold Bar - Proposition 1 Excess Levy for Litigation Expenses","Yes","","181","41.1364","CITY OF GOLD BAR"
"Snohomish","CITY OF GOLD BAR City of Gold Bar - Proposition 1 Excess Levy for Litigation Expenses","No","","259","58.8636","CITY OF GOLD BAR"
"Snohomish","CITY OF MILL CREEK City of Mill Creek - Proposition 1 Sales and Use Tax Increase of 0.1% for Police and Fire Protection Purposes","Approved","","3943","67.6097","CITY OF MILL CREEK"
"Snohomish","CITY OF MILL CREEK City of Mill Creek - Proposition 1 Sales and Use Tax Increase of 0.1% for Police and Fire Protection Purposes","Rejected","","1889","32.3903","CITY OF MILL CREEK"
"Snohomish","CITY OF MONROE City of Monroe - Proposition 2 Advisory Vote on Ordinance No. 002/2007","Yes","","916","29.5103","CITY OF MONROE"
"Snohomish","CITY OF MONROE City of Monroe - Proposition 2 Advisory Vote on Ordinance No. 002/2007","No","","2188","70.4897","CITY OF MONROE"
"Snohomish","CITY OF MUKILTEO City of Mukilteo - Proposition 1 Levy for Purchase of Japanese Gulch Park and Open Space","Yes","","3401","55.6446","CITY OF MUKILTEO"
