"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","22","0.613","United States"
"Adams","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","12","0.3344","United States"
"Adams","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","14","0.3901","United States"
"Adams","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","1","0.0279","United States"
"Adams","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","0","0","United States"
"Adams","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","4","0.1115","United States"
"Adams","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","1358","38.189","United States"
"Adams","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","2198","61.811","United States"
"Adams","Congressional District 4 U.S. Representative","Doc Hastings","(Prefers Republican Party)","2667","77.2596","Congressional District 4"
"Adams","Congressional District 4 U.S. Representative","Mary Baechler","(Prefers Democratic Party)","785","22.7404","Congressional District 4"
"Adams","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","1001","28.237","Washington State"
"Adams","Washington State Governor","Rob McKenna","(Prefers Republican Party)","2544","71.763","Washington State"
"Adams","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","1160","34.178","Washington State"
"Adams","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","2234","65.822","Washington State"
"Adams","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","2492","73.837","Washington State"
"Adams","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","883","26.163","Washington State"
"Adams","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","1145","33.9763","Washington State"
"Adams","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","2225","66.0237","Washington State"
"Adams","Washington State State Auditor","James Watkins","(Prefers Republican Party)","2382","71.596","Washington State"
"Adams","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","945","28.404","Washington State"
"Adams","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","974","28.7062","Washington State"
"Adams","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","2419","71.2938","Washington State"
"Adams","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","1128","32.9439","Washington State"
"Adams","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","2296","67.0561","Washington State"
"Adams","Washington State Superintendent of Public Instruction","Randy I. Dorn","","2615","100","Washington State"
"Adams","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","1059","32.1299","Washington State"
"Adams","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","2237","67.8701","Washington State"
"Adams","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","2957","100","Legislative District 9"
"Adams","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","2829","100","Legislative District 9"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican  Party)","2871","100","Legislative District 9"
"Adams","ADAMS COUNTY County Commissioner District 1","Rudy Plager","(Prefers Republican Party)","1535","47.879","ADAMS COUNTY"
"Adams","ADAMS COUNTY County Commissioner District 1","John N. Marshall","(Prefers Republican Party)","1671","52.121","ADAMS COUNTY"
